م,الصنف,كمية,رويال الكيم / سنتر اللوتس التجاري,سعر التكلفة,رويال الكيم اونلاين,سعر1 كارت,رويال توزيع / عربيه,سعر2 كارت,ريال الكيم / اداره مخازن,سعر3 كارت,ROYAL ELCHIM . HURGADA,سعر4 كارت,ROYAL ELCHIM MARWA,تاريخ اخر حركة,الفرق,بيع,شراء,مرتجع بيع,مرتجع شراء,صادر,وارد,تالف,تسوية,قيمة بيع,قيمة شراء,قيمة مرتجع بيع,قيمة مرتجع شراء,قيمة تالف,الباركود,الوصف,حجز,غير مؤكد,ج تكلفة,نوع الصنف,اسم الصنف,الوصف 4,الوصف 5,ترتيب القائمة,سعر1 %,إجمالي الكمية,حد الطلب رويال الكيم / سنتر اللوتس التجاري,التصنيف الرئيسي,اسم القائمة,نواقص رويال الكيم / سنتر اللوتس التجاري,اخر تسوية رويال الكيم / سنتر اللوتس التجاري,صورة الصنف,اخر سعر شراء,سعر عرض,تاريخ النواقص,خصم بيع,خصم شراء,سعر1 = رويال الكيم / سنتر اللوتس التجاري,سعر2 = رويال الكيم / سنتر اللوتس التجاري,سعر3 = رويال الكيم / سنتر اللوتس التجاري,سعر4 = رويال الكيم / سنتر اللوتس التجاري,مطلوب حد الطلب,تاريخ اخر بيع,أونلاين,كمية أونلاين,تاريخ خصم أونلاين,سعر أونلاين,#هاشتاج,كلمات البحث,مورد اخر,ملاحظات,أول تاريخ,اخر تاريخ,تحت الطلب,نسبة الخصم**,اخر سعر تكلفة,تاريخ اخر شراء,*اسم الصنف Online,سعر تكلفة مخصص,إيقاف الإدراج,قيمة سعر1,قيمة سعر2,قيمة سعر3,قيمة سعر4,عدد الصور
,ACRYLIC NAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACRYLIC NAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ACRYLIC NAIL TOP COAT UNO DIAMOND SHEILD,0,0,150,0,275,0,225,0,200,0,175,0,2026/02/25,,,,,,,,,,,,,,,089001,UNO,0,,0,ACRYLIC NAIL,TOP COAT,DIAMOND SHEILD,,,83٫33,0,0,,1,نواقص,99999,,140,,2026/02/25,,,,,,,,2026/02/25,,-1,,,,,GLOPAL,,,,0,45٫45,150,2023/02/24,,150,لا,275,225,200,175,0
2,ACRYLIC NAIL TOP COAT UNO SUPER SHINE,0,0,150,0,275,0,225,0,200,0,175,0,2023/12/11,,,,,,,,,,,,,,,2000110661113,UNO,0,,0,ACRYLIC NAIL,TOP COAT,SUPER SHINE,,,83٫33,0,0,,1,---,99999,,140,,,,,,,,,,2023/04/09,,-1,,,,,GLOPAL,,,,0,45٫45,150,2023/02/24,,150,لا,275,225,200,175,0
2,إجمالي -   ACRYLIC NAIL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,0,0,,,,,,,0,,,,,0,0,0,0,0,,,,,,,,,,,,,,0,,,0,,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARGAN DE LUXE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARGAN DE LUXE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ARGAN DE LUXE HAIR B& BODY SERUM,0,0,193٫75,0,285,0,260,0,240,0,220,0,2025/07/02,,,,,,,,,,,,,,,783583000420,,0,,0,ARGAN DE LUXE,HAIR B& BODY SERUM,,,,47٫1,0,0,,1,نواقص,99999,,220,,2025/04/16,,,,,,,,2025/04/15,,-1,,,,,عزت Omay,,,,0,32٫02,220,2024/05/23,,193٫75,لا,285,260,240,220,0
4,ARGAN DE LUXE INFUSING MASK HAIR,0,0,116٫67,0,185,0,165,0,150,0,135,0,2026/05/10,,,,,,,,,,,,,,,783583000321,,0,,0,ARGAN DE LUXE,INFUSING MASK HAIR,,,,58٫57,0,0,,1,نواقص,99999,,120,,2026/01/26,,,,,,,,2026/01/26,,-1,,,,,عزت Omay,,,,0,36٫94,120,2024/05/23,,116٫67,لا,185,165,150,135,0
5,ARGAN DE LUXE SHAMPO & BALSAM,0,0,230,0,375,0,350,0,300,0,275,0,2025/07/02,,,,,,,,,,,,,,,7835830003227,,0,,0,ARGAN DE LUXE,SHAMPO & BALSAM,,,,63٫04,0,0,,1,نواقص,99999,,235,,2025/02/03,,,,,,,,2025/03/04,,-1,,,,,عزت Omay,,,,0,38٫67,235,2024/05/23,,230,لا,375,350,300,275,0
6,ARGAN DE LUXE مجموعه ثلاثيه,0,0,450,0,700,0,650,0,600,0,550,0,2024/03/30,,,,,,,,,,,,,,,7891549896703,,0,,0,ARGAN DE LUXE,مجموعه ثلاثيه,,,,55٫56,0,0,,1,نواقص,99999,,450,,2024/03/31,,,,,,,,,,-1,,,,,عزت Omay,,,,0,35٫71,450,2023/12/30,,450,لا,700,650,600,550,0
